"","obs","group","correct"
"1",1,"No payment",49
"2",2,"No payment",48
"3",3,"No payment",48
"4",4,"No payment",45
"5",5,"No payment",42
"6",6,"No payment",42
"7",7,"No payment",42
"8",8,"No payment",40
"9",9,"No payment",37
"10",10,"No payment",37
"11",11,"No payment",37
"12",12,"No payment",37
"13",13,"No payment",36
"14",14,"No payment",36
"15",15,"No payment",36
"16",16,"No payment",35
"17",17,"No payment",34
"18",18,"No payment",34
"19",19,"No payment",34
"20",20,"No payment",31
"21",21,"No payment",31
"22",22,"No payment",31
"23",23,"No payment",31
"24",24,"No payment",29
"25",25,"No payment",29
"26",26,"No payment",24
"27",27,"No payment",23
"28",28,"No payment",23
"29",29,"No payment",23
"30",30,"No payment",22
"31",31,"No payment",22
"32",32,"No payment",20
"33",33,"No payment",20
"34",34,"No payment",18
"35",35,"No payment",7
"36",36,"No payment",3
"37",37,"No payment",0
"38",38,"No payment",0
"39",39,"No payment",0
"40",40,"No payment",0
"41",1,"10 cents",50
"42",2,"10 cents",44
"43",3,"10 cents",44
"44",4,"10 cents",43
"45",5,"10 cents",40
"46",6,"10 cents",39
"47",7,"10 cents",36
"48",8,"10 cents",35
"49",9,"10 cents",35
"50",10,"10 cents",35
"51",11,"10 cents",34
"52",12,"10 cents",34
"53",13,"10 cents",32
"54",14,"10 cents",32
"55",15,"10 cents",31
"56",16,"10 cents",30
"57",17,"10 cents",26
"58",18,"10 cents",26
"59",19,"10 cents",26
"60",20,"10 cents",26
"61",21,"10 cents",24
"62",22,"10 cents",23
"63",23,"10 cents",23
"64",24,"10 cents",22
"65",25,"10 cents",21
"66",26,"10 cents",21
"67",27,"10 cents",21
"68",28,"10 cents",19
"69",29,"10 cents",19
"70",30,"10 cents",13
"71",31,"10 cents",11
"72",32,"10 cents",8
"73",33,"10 cents",0
"74",34,"10 cents",0
"75",35,"10 cents",0
"76",36,"10 cents",0
"77",37,"10 cents",0
"78",38,"10 cents",0
"79",39,"10 cents",0
"80",40,"10 cents",0
"81",1,"NIS 1",49
"82",2,"NIS 1",47
"83",3,"NIS 1",47
"84",4,"NIS 1",46
"85",5,"NIS 1",46
"86",6,"NIS 1",45
"87",7,"NIS 1",44
"88",8,"NIS 1",44
"89",9,"NIS 1",44
"90",10,"NIS 1",43
"91",11,"NIS 1",41
"92",12,"NIS 1",41
"93",13,"NIS 1",41
"94",14,"NIS 1",40
"95",15,"NIS 1",40
"96",16,"NIS 1",38
"97",17,"NIS 1",38
"98",18,"NIS 1",38
"99",19,"NIS 1",38
"100",20,"NIS 1",37
"101",21,"NIS 1",34
"102",22,"NIS 1",33
"103",23,"NIS 1",33
"104",24,"NIS 1",33
"105",25,"NIS 1",31
"106",26,"NIS 1",31
"107",27,"NIS 1",30
"108",28,"NIS 1",29
"109",29,"NIS 1",29
"110",30,"NIS 1",29
"111",31,"NIS 1",28
"112",32,"NIS 1",28
"113",33,"NIS 1",26
"114",34,"NIS 1",23
"115",35,"NIS 1",22
"116",36,"NIS 1",22
"117",37,"NIS 1",22
"118",38,"NIS 1",21
"119",39,"NIS 1",20
"120",40,"NIS 1",17
"121",1,"NIS 3",50
"122",2,"NIS 3",50
"123",3,"NIS 3",47
"124",4,"NIS 3",45
"125",5,"NIS 3",44
"126",6,"NIS 3",44
"127",7,"NIS 3",44
"128",8,"NIS 3",43
"129",9,"NIS 3",42
"130",10,"NIS 3",41
"131",11,"NIS 3",41
"132",12,"NIS 3",39
"133",13,"NIS 3",39
"134",14,"NIS 3",39
"135",15,"NIS 3",38
"136",16,"NIS 3",38
"137",17,"NIS 3",37
"138",18,"NIS 3",37
"139",19,"NIS 3",37
"140",20,"NIS 3",37
"141",21,"NIS 3",37
"142",22,"NIS 3",36
"143",23,"NIS 3",36
"144",24,"NIS 3",34
"145",25,"NIS 3",33
"146",26,"NIS 3",31
"147",27,"NIS 3",31
"148",28,"NIS 3",31
"149",29,"NIS 3",28
"150",30,"NIS 3",27
"151",31,"NIS 3",26
"152",32,"NIS 3",25
"153",33,"NIS 3",25
"154",34,"NIS 3",21
"155",35,"NIS 3",20
"156",36,"NIS 3",20
"157",37,"NIS 3",19
"158",38,"NIS 3",19
"159",39,"NIS 3",17
"160",40,"NIS 3",16
